ENSEMBL_TRANSCRIPT,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,gene_symbol,gene_id
ENST00000419783.3,5815.04976602885,0.2079977841946643,0.1179136346195265,1.76398416405205,0.07773464540129811,0.5222278301494563,FALSE,GPX1,ENSG00000233276
ENST00000652053.1,71.83390197901925,0.6671057450506209,0.3176265329393487,2.100283433116105,0.03570391572928719,0.37474438673671023,FALSE,NA,NA
ENST00000402588.6,40.28780145902202,-0.23688694753080852,0.4955728264668573,-0.4780063289984504,0.6326457004024348,0.9526578964585658,FALSE,GSTT2,ENSG00000099984
ENST00000534447.5,108.25026141723754,-0.3416028776597089,0.28531684780088196,-1.1972755212061927,0.23119918227695824,0.766198078748978,FALSE,PKD1L2,ENSG00000166473
ENST00000651274.1,72.12099284796872,0.6030638717212812,0.41485278928491537,1.4536816126047665,0.14603459832331944,0.6555699315025697,FALSE,NA,NA
ENST00000390289.2,180.90068835850664,-0.31926230129674893,0.2751402722056927,-1.1603619446086428,0.2459014739042717,0.7803930591807386,FALSE,IGLV5-52,ENSG00000211643
ENST00000390290.3,44.35689154994708,-0.27692810380139116,0.4606149738403725,-0.6012138543662747,0.5476975579412146,0.9341625438912424,FALSE,IGLV1-51,ENSG00000211644
ENST00000361390.2,110444.48434088692,-0.12839547718350997,0.1248404686975379,-1.0284764109191635,0.30372578144093787,0.826081112886634,FALSE,MT-ND1,ENSG00000198888
ENST00000361453.3,85907.73816789809,-0.10429300660607402,0.13024610256531088,-0.800738022496889,0.4232833256452691,0.8954522168742731,FALSE,MT-ND2,ENSG00000198763
ENST00000361624.2,545625.2712939897,-0.20714565238285895,0.07004639759450268,-2.957263463883202,0.00310382786096963,0.0973927102674025,FALSE,MT-CO1,ENSG00000198804
ENST00000361739.1,243148.38265787897,-0.2342679996875446,0.06826974458971906,-3.4315054361990938,6.002410998508309e-4,0.03460295511465645,FALSE,MT-CO2,ENSG00000198712
ENST00000361851.1,5623.177820553684,0.26377398059285756,0.20975710687857696,1.2575210657608351,0.20856501587025933,0.7407373780586941,FALSE,MT-ATP8,ENSG00000228253
ENST00000361899.2,74419.59805576739,0.14373681321218293,0.11945748144354298,1.2032466403547497,0.2288808911227076,0.7639697523171942,FALSE,MT-ATP6,ENSG00000198899
ENST00000362079.2,282891.8505147432,-0.20578620237593137,0.10012707451297188,-2.055250324419205,0.03985483266974978,0.3944211915734082,FALSE,MT-CO3,ENSG00000198938
ENST00000361227.2,50884.63406436619,-0.15227359800688922,0.12675739183777424,-1.2012995518381362,0.22963502422927795,0.7644598906072244,FALSE,MT-ND3,ENSG00000198840
ENST00000361335.1,30383.56054672257,0.1759268284972224,0.21949636611586515,0.801502237191281,0.4228409494366795,0.8951364228139733,FALSE,MT-ND4L,ENSG00000212907
ENST00000361381.2,214412.86235116303,-0.03652730815172207,0.1271893162018736,-0.2871884938334467,0.7739679960011554,0.97724152312844,FALSE,MT-ND4,ENSG00000198886
ENST00000361567.2,94532.131779162155,-0.2074197309320293,0.06592602917246601,-3.1462494182594893,0.00165378906962124,0.06631049018354783,FALSE,MT-ND5,ENSG00000198786
ENST00000361681.2,39079.88369302727,-0.05151668209146205,0.1551903976314024,-0.33195792315592193,0.7399210315087549,0.9717574211626862,FALSE,MT-ND6,ENSG00000198695
ENST00000361789.2,134609.20759478508,0.01159784438717429,0.08381834341298221,0.13836880943865046,0.8899489463300947,0.989118396079974,FALSE,MT-CYB,ENSG00000198727
ENST00000638293.1,64.28215870466465,0.26314398006407813,0.3954803729035889,0.6653781024127535,0.5058086871361374,0.9231097819376114,FALSE,NA,NA
ENST00000619253.1,129.29469287215716,0.42898017229690727,0.2816071368381061,1.523328482060186,0.12767654479707752,0.6247339127283709,FALSE,AC012314.6,ENSG00000275605
ENST00000612565.1,205.79900702139508,-0.13580804120084738,0.2185579838316199,-0.6213822017386278,0.5343481797483132,0.9321667871116842,FALSE,AL354822.1,ENSG00000278384
ENST00000616928.3,1843.283978168255,0.2595866309876338,0.08151953113962133,3.184348920543112,0.00145080020495812,0.06119937080794813,FALSE,AC012314.4,ENSG00000274626
ENST00000629980.2,758.406132331579,-0.05978076486415499,0.10241969729867928,-0.5836842564552851,0.5594327612907568,0.9348928085668944,FALSE,SURF6,ENSG00000281309
ENST00000628950.1,78.54392236868443,0.4325740743155829,0.2694138855881659,1.6056116535018856,0.10835926337088982,0.5946565591499763,FALSE,SURF6,ENSG00000281309
ENST00000626663.3,443.81815338613666,0.166952329007672,0.25940079307390956,0.6436076275221844,0.5198299028748607,0.928260754809086,FALSE,SURF1,ENSG00000280627
ENST00000628258.2,50.2494723398558,-0.7454645021635344,0.5582435442602005,-1.3353750523912358,0.1817536256926552,0.707491849889688,FALSE,SURF1,ENSG00000280627
